date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:12:51	761/761	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jan%202023%2017:42:23%20GMT	http://dtcpass.delhi.gov.in/robots.txt		(from )
23:12:57	155548/-1	---M--	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202023%2017:42:23%20GMT	http://dtcpass.delhi.gov.in/viewEPass?passno=7504112249305	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/viewEPass89c8.html	(from )
23:13:01	15919/15919	---M--	200	added ('OK')	text/css	etag:W/%2215919-1542301202000%22	http://dtcpass.delhi.gov.in/js/paging/paging.css	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/js/paging/paging.css	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7504112249305)
23:13:06	959344/959344	---M--	200	added ('OK')	text/css	etag:W/%22959344-1646894696000%22	http://dtcpass.delhi.gov.in/css/style.css	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/css/style.css	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7504112249305)
23:13:20	77498/77498	---M--	200	added ('OK')	application/javascript	etag:W/%2277498-1535705536000%22	http://dtcpass.delhi.gov.in/js/paging/jquery.dataTables.min.js	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/js/paging/jquery.dataTables.min.js	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7504112249305)
23:13:21	9127/9127	---M--	200	added ('OK')	image/jpeg	etag:W/%229127-1601269346000%22	http://dtcpass.delhi.gov.in/images/Dtc.jpeg	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/images/Dtc.jpg	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7504112249305)
23:13:22	130696/130696	---M--	200	added ('OK')	image/png	etag:W/%22130696-1513068500000%22	http://dtcpass.delhi.gov.in/images/DTC1.png	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/images/DTC1.png	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7504112249305)
23:13:22	95786/95786	---M--	200	added ('OK')	application/javascript	etag:W/%2295786-1493210464000%22	http://dtcpass.delhi.gov.in/js/paging/jquery-1.11.1.min.js	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/js/paging/jquery-1.11.1.min.js	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7504112249305)
23:13:24	107453/-1	---M--	200	added ('OK')	text/html	date:Fri,%2020%20Jan%202023%2017:42:40%20GMT	http://dtcpass.delhi.gov.in/home.jsp	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/home.html	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7504112249305)
23:13:26	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2220127-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
23:13:27	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2220127-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regulard41d.eot?	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regulard41dd41d.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
23:13:29	18028/18028	---M--	200	added ('OK')	font/woff2	etag:W/%2218028-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.woff2	(from http://dtcpass.delhi.gov.in/css/style.css)
23:13:31	58144/58144	---M--	200	added ('OK')	application/javascript	etag:W/%2258144-1536662174000%22	http://dtcpass.delhi.gov.in/js/script.js	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/js/script.js	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7504112249305)
23:13:31	23424/23424	---M--	200	added ('OK')	font/woff	etag:W/%2223424-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.woff	(from http://dtcpass.delhi.gov.in/css/style.css)
23:13:33	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:W/%22108738-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.svg	(from http://dtcpass.delhi.gov.in/css/style.css)
23:13:39	45404/45404	---M--	200	added ('OK')	font/ttf	etag:W/%2245404-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.ttf	(from http://dtcpass.delhi.gov.in/css/style.css)
23:13:45	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2270807-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfont3295.eot?v=4.5.0	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/fontawesome-webfont32953295.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
23:13:46	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2270807-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfontd41d.eot?	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/fontawesome-webfontd41dd41d.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
23:13:50	66624/66624	---M--	200	added ('OK')	font/woff2	etag:W/%2266624-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfont3295.woff2?v=4.5.0	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/fontawesome-webfont32953295.woff2	(from http://dtcpass.delhi.gov.in/css/style.css)
23:13:55	365616/365616	---M--	200	added ('OK')	image/svg+xml	etag:W/%22365616-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfont3295.svg?v=4.5.0	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/fontawesome-webfont32953295.svg	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:03	83588/83588	---M--	200	added ('OK')	font/woff	etag:W/%2283588-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfont3295.woff?v=4.5.0	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/fontawesome-webfont32953295.woff	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:03	42248/42248	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2242248-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/Flaticon.eot	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/Flaticon.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:07	20168/20168	---M--	200	added ('OK')	font/woff	etag:W/%2220168-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/Flaticon.woff	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/Flaticon.woff	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:10	42248/42248	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2242248-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/Flaticond41d.eot?	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/Flaticond41dd41d.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
23:14:13	189358/189358	---M--	200	added ('OK')	image/svg+xml	etag:W/%22189358-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/Flaticon.svg	C:/My%20Web%20Sites/Ujjwal/dtcpass.delhi.gov.in/fonts/Flaticon.svg	(from http://dtcpass.delhi.gov.in/css/style.css)
